Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Login_Data Driven,Chrome 120.0.0.0,,,24-01-2024 18:45:43,24-01-2024 18:46:57,1m - 13.871s,PASSED
,,,,,,,
Test Cases/Data Driven_Testing/TC_Amazon_Login_Excel_001,Chrome 120.0.0.0,,,24-01-2024 18:45:43,24-01-2024 18:46:07,24.192s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 18:45:43,24-01-2024 18:45:45,1.530s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,24-01-2024 18:45:45,24-01-2024 18:45:46,1.738s,PASSED
"click(findTestObject(""Object Repository/Amazon_login_Data Driven_OR/Page_Amazon.com. Spend less. Smile more/a_Hello, sign in  Account  Lists""))",Chrome 120.0.0.0,,,24-01-2024 18:45:46,24-01-2024 18:46:00,13.686s,PASSED
"click(findTestObject(""Object Repository/Amazon_login_Data Driven_OR/Page_Amazon Sign-In/a_Create your Amazon account""))",Chrome 120.0.0.0,,,24-01-2024 18:46:00,24-01-2024 18:46:02,1.843s,PASSED
"setText(findTestObject(""Object Repository/Amazon_login_Data Driven_OR/Page_Amazon Registration/input_customerName""), name)",Chrome 120.0.0.0,,,24-01-2024 18:46:02,24-01-2024 18:46:03,1.317s,PASSED
"setText(findTestObject(""Object Repository/Amazon_login_Data Driven_OR/Page_Amazon Registration/input_email""), email)",Chrome 120.0.0.0,,,24-01-2024 18:46:03,24-01-2024 18:46:04,0.694s,PASSED
"setText(findTestObject(""Amazon_login_Data Driven_OR/Page_Amazon Registration/input_password""), password)",Chrome 120.0.0.0,,,24-01-2024 18:46:04,24-01-2024 18:46:05,0.655s,PASSED
"setText(findTestObject(""Object Repository/Amazon_login_Data Driven_OR/Page_Amazon Registration/input_passwordCheck""), repassword)",Chrome 120.0.0.0,,,24-01-2024 18:46:05,24-01-2024 18:46:06,0.864s,PASSED
"click(findTestObject(""Object Repository/Amazon_login_Data Driven_OR/Page_Amazon Registration/inputcontinue""))",Chrome 120.0.0.0,,,24-01-2024 18:46:06,24-01-2024 18:46:07,1.416s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,24-01-2024 18:46:07,24-01-2024 18:46:07,0.161s,PASSED
,,,,,,,
Test Cases/Data Driven_Testing/TC_Amazon_Login_Excel_001,Chrome 120.0.0.0,,,24-01-2024 18:46:07,24-01-2024 18:46:32,24.339s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 18:46:07,24-01-2024 18:46:08,0.644s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,24-01-2024 18:46:08,24-01-2024 18:46:10,1.983s,PASSED
"click(findTestObject(""Object Repository/Amazon_login_Data Driven_OR/Page_Amazon.com. Spend less. Smile more/a_Hello, sign in  Account  Lists""))",Chrome 120.0.0.0,,,24-01-2024 18:46:10,24-01-2024 18:46:23,13.614s,PASSED
"click(findTestObject(""Object Repository/Amazon_login_Data Driven_OR/Page_Amazon Sign-In/a_Create your Amazon account""))",Chrome 120.0.0.0,,,24-01-2024 18:46:23,24-01-2024 18:46:26,2.778s,PASSED
"setText(findTestObject(""Object Repository/Amazon_login_Data Driven_OR/Page_Amazon Registration/input_customerName""), name)",Chrome 120.0.0.0,,,24-01-2024 18:46:26,24-01-2024 18:46:28,1.521s,PASSED
"setText(findTestObject(""Object Repository/Amazon_login_Data Driven_OR/Page_Amazon Registration/input_email""), email)",Chrome 120.0.0.0,,,24-01-2024 18:46:28,24-01-2024 18:46:28,0.667s,PASSED
"setText(findTestObject(""Amazon_login_Data Driven_OR/Page_Amazon Registration/input_password""), password)",Chrome 120.0.0.0,,,24-01-2024 18:46:28,24-01-2024 18:46:29,0.662s,PASSED
"setText(findTestObject(""Object Repository/Amazon_login_Data Driven_OR/Page_Amazon Registration/input_passwordCheck""), repassword)",Chrome 120.0.0.0,,,24-01-2024 18:46:29,24-01-2024 18:46:30,0.872s,PASSED
"click(findTestObject(""Object Repository/Amazon_login_Data Driven_OR/Page_Amazon Registration/inputcontinue""))",Chrome 120.0.0.0,,,24-01-2024 18:46:30,24-01-2024 18:46:31,1.425s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,24-01-2024 18:46:31,24-01-2024 18:46:32,0.146s,PASSED
,,,,,,,
Test Cases/Data Driven_Testing/TC_Amazon_Login_Excel_001,Chrome 120.0.0.0,,,24-01-2024 18:46:32,24-01-2024 18:46:57,25.010s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,24-01-2024 18:46:32,24-01-2024 18:46:32,0.656s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,24-01-2024 18:46:32,24-01-2024 18:46:33,1.196s,PASSED
"click(findTestObject(""Object Repository/Amazon_login_Data Driven_OR/Page_Amazon.com. Spend less. Smile more/a_Hello, sign in  Account  Lists""))",Chrome 120.0.0.0,,,24-01-2024 18:46:33,24-01-2024 18:46:50,16.824s,PASSED
"click(findTestObject(""Object Repository/Amazon_login_Data Driven_OR/Page_Amazon Sign-In/a_Create your Amazon account""))",Chrome 120.0.0.0,,,24-01-2024 18:46:50,24-01-2024 18:46:52,1.879s,PASSED
"setText(findTestObject(""Object Repository/Amazon_login_Data Driven_OR/Page_Amazon Registration/input_customerName""), name)",Chrome 120.0.0.0,,,24-01-2024 18:46:52,24-01-2024 18:46:54,1.511s,PASSED
"setText(findTestObject(""Object Repository/Amazon_login_Data Driven_OR/Page_Amazon Registration/input_email""), email)",Chrome 120.0.0.0,,,24-01-2024 18:46:54,24-01-2024 18:46:54,0.671s,PASSED
"setText(findTestObject(""Amazon_login_Data Driven_OR/Page_Amazon Registration/input_password""), password)",Chrome 120.0.0.0,,,24-01-2024 18:46:54,24-01-2024 18:46:55,0.655s,PASSED
"setText(findTestObject(""Object Repository/Amazon_login_Data Driven_OR/Page_Amazon Registration/input_passwordCheck""), repassword)",Chrome 120.0.0.0,,,24-01-2024 18:46:55,24-01-2024 18:46:56,0.862s,PASSED
"click(findTestObject(""Object Repository/Amazon_login_Data Driven_OR/Page_Amazon Registration/inputcontinue""))",Chrome 120.0.0.0,,,24-01-2024 18:46:56,24-01-2024 18:46:56,0.577s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,24-01-2024 18:46:56,24-01-2024 18:46:57,0.161s,PASSED
